unix,date,symbol,open,high,low,close,Volume_ETH,Volume_USD,Average_Price,Return_Ratio
1526464800,16-05-2018 10:00,ETH/USD,692.3,708.62,692.3,702.61,2173.23,1519575.34,698.9575,0.953326446
1526468400,16-05-2018 11:00,ETH/USD,702.61,712,701.45,706,421.29,298400.51,705.515,0.962270392
1526472000,16-05-2018 12:00,ETH/USD,706,709.87,702.26,704.01,589.15,415819.25,705.535,0.96229767
1526475600,16-05-2018 13:00,ETH/USD,704.01,705.29,674.57,683.74,2676.72,1850163.34,691.9025,0.943703946
1526479200,16-05-2018 14:00,ETH/USD,683.74,694.51,683.66,691.91,939.76,647846.94,688.455,0.939001811
1526482800,16-05-2018 15:00,ETH/USD,691.91,702.08,691.68,697.31,1899.69,1326941.88,695.745,0.948944833
1526486400,16-05-2018 16:00,ETH/USD,697.31,703,689.41,694.82,994.99,693991.95,696.135,0.949476764
1526490000,16-05-2018 17:00,ETH/USD,694.82,699,692.64,693.53,1121.93,781073.31,694.9975,0.947925298
1526493600,16-05-2018 18:00,ETH/USD,693.53,702.84,693.42,696.72,1175.46,822737.36,696.6275,0.950148497
1526497200,16-05-2018 19:00,ETH/USD,696.72,703.99,695.5,695.5,753.4,526576.51,697.9275,0.951921602
1526500800,16-05-2018 20:00,ETH/USD,695.5,697.8,692.92,695.6,253.5,176133.84,695.455,0.948549294
1526504400,16-05-2018 21:00,ETH/USD,695.6,695.7,691.83,693.6,80.36,55815.68,694.1825,0.946813698
1526508000,16-05-2018 22:00,ETH/USD,693.6,704.49,693.6,700.31,271.53,190409.37,698,0.952020486
